agsu: agropyron subsecundum, slender wheatgrass
agsy2: agrostis sylvatica, colonial bentgrass
agte: agrostis tenuis, colonial bentgrass
agte3: agalinis tenuifolia, slenderleaf false foxglove
agte4: agropyron tenerum, slender wheatgrass
agte6: agropyron teslinense, slender wheatgrass
agth2: agrostis thurberiana, alpine bentgrass
agtr: agropyron trachycaulum, slender wheatgrass
agtr5: agropyron triticeum, annual wheatgrass
agtr6: agropyron trichophorum, intermediate wheatgrass
agtu3: agoseris turbinata, pale agoseris
agur: agastache urticifolia, nettleleaf giant hyssop
agva: agrostis variabilis, mountain bentgrass
agva2: agropyron vaseyi, bluebunch wheatgrass
agva4: agrostis variabilis, ross` bentgrass
agva5: agropyron vaillantianum
agva80: agropyron varnense, tall wheatgrass
agve2: agrostis verticillata, beardless rabbitsfoot grass
agvi11: agrostis viridis, beardless rabbitsfoot grass
agvi3: agropyron violaceum, alaskan wheatgrass
agvu2: agrostis vulgaris, colonial bentgrass
aiaq: aira aquatica, water whorlgrass
aiat: aira atropurpurea, mountain hairgrass
aica: aira caryophyllea, silver hairgrass
aica6: aira caespitosa, tufted hairgrass
aice: aira cespitosa, tufted hairgrass
aida: aira danthonioides, annual hairgrass
aiel3: aira elongata, slender hairgrass
aiob: aira obtusata, prairie wedgescale
aisp: aira spicata, spike trisetum
alac4: allium acuminatum, tapertip onion
alae: alopecurus aequalis, shortawn foxtail
alal2: alopecurus alpinus, boreal alopecurus
alal3: alyssum alyssoides, pale madwort
alal9: alnus alnobetula, sitka alder
alar: alopecurus arundinaceus, creeping meadow foxtail
alar5: alopecurus aristulatus, shortawn foxtail
alar6: allium aridum, textile onion
alar7: allium arenicola, bulbil onion
alba3: alsine baicalensis, umbrella starwort
albi5: aletes bipinnata, snowline springparsley
albo3: alsine borealis, boreal starwort
albo6: alopecurus borealis, boreal alopecurus
albr: allium brandegeei, brandegee`s onion
albr10: alisma brevipes, northern water plantain
albr2: allium brevistylum, shortstyle onion
alca11: alyssum calycinum, pale madwort
alca14: alsine calycantha, northern starwort
alca4: alopecurus carolinianus, carolina foxtail
alce2: allium cernuum, nodding onion
alco10: allocarya cognata, sleeping popcornflower
alcr11: alsine crassifolia, fleshy starwort
alcr12: alsine crispa, curled starwort
alcr6: alnus crispa, mountain alder
alde4: allionia decumbens, narrowleaf four o`clock
aldi5: allium dictyotum, geyer`s onion
aldi8: allium diehlii, brandegee`s onion
alel2: alsinanthe elegans, elegant stitchwort
alel3: alsine elegans, elegant stitchwort
alfi6: allium fibrosum, bulbil onion
alga: allionia gausapoides, narrowleaf four o`clock
alge: allium geyeri, geyer`s onion
alge2: alopecurus geniculatus, water foxtail
alge3: alisma geyeri, narrowleaf water plantain
algl8: alopecurus glaucus, boreal alopecurus
algl9: alsine glutinosa, tuber starwort
algr: alisma gramineum, narrowleaf water plantain
alhe: aletes hendersonii, henderson`s wavewing
alhi3: allionia hirsuta, hairy four o`clock
alhi5: allocarya hispidula, sleeping popcornflower
alhu: aletes humilis, colorado aletes
alhu3: alnus +hultenii, mountain alder
alin2: alnus incana, gray alder
alin8: alyssum incanum, hoary false madwort
alja5: alsine jamesiana, tuber starwort
alja6: alsine jamesii, tuber starwort
alla5: alisma lanceolatum, narrowleaf water plantain
alle4: allocarya leptoclada, finebranched popcornflower
alli3: allionia linearis, narrowleaf four o`clock
allo3: alsine longifolia, longleaf starwort
allo4: alsine longipes, longstalk starwort
allo5: aletes longiloba, henderson`s wavewing
alma13: alyssum maritimum, sweet alyssum
alma14: alsinanthe macrantha, house`s stitchwort
alma15: alopecurus macounii, carolina foxtail
alme4: aletes megarrhiza, nuttall`s biscuitroot
alme5: alsine media, common chickweed
almi2: alyssum minus, alyssum
almi4: allium minimum, brandegee`s onion
almo6: alopecurus monspeliensis, annual rabbitsfoot grass
alna: allium natans, nodding onion
alni2: aletes nivalis, snowline springparsley
alnu: aletes nuttallii, nuttall`s biscuitroot
alny: allionia nyctaginea, heartleaf four o`clock
alob6: alsinopsis obtusiloba, twinflower sandwort
alob7: alsine obtusa, rocky mountain chickweed
aloc5: alsinopsis occidentalis, nuttall`s sandwort
aloc7: alopecurus occidentalis, boreal alopecurus
alpa12: alsine palmeri, longstalk starwort
alpa14: almutaster pauciflorus, alkalai marsh aster
alpa7: alyssum parviflorum, alyssum
alpa9: alopecurus pallescens, water foxtail
alpl: alisma plantago-aquatica, american waterplantain
alpr3: alopecurus pratensis, meadow foxtail
alpu5: alnus +purpusii, thinleaf alder
alra4: alopecurus ramosus, carolina foxtail
alre4: allium recurvatum, nodding onion
alre5: allium reticulatum, textile onion
alro3: alcea rosea, hollyhock
alro4: althaea rosea, hollyhock
alru5: allium rubrum, bulbil onion
alry: allium rydbergii, bulbil onion
alsa5: allium sabulicola, bulbil onion
alsc: allium schoenoprasum, wild chives
alsc7: allocarya scopulorum, sleeping popcornflower
alsi3: alnus sinuata, sitka alder
alsi5: alsine simcoei, northern starwort
alst: allium stellatum, autumn onion
alst3: alsinanthe stricta, bog stitchwort
alst4: alsine stricta, longstalk starwort
alte: allium textile, textile onion
alte11: aletes tenuifolius, slender wildparsley
alte2: alnus tenuifolia, thinleaf alder
altr2: allium tribracteatum, threebract onion
altr7: alisma triviale, northern water plantain
altu2: alyssum turkestanicum, desert madwort
alva3: alsine validus, longstalk starwort
alve: alopecurus ventricosus, creeping meadow foxtail
alvi5: alnus viridis, green alder
alvi8: alsine viridula, rocky mountain chickweed
alwa2: alsine washingtoniana, rocky mountain chickweed
amac2: ambrosia acanthicarpa, flatspine burr ragweed
amac5: amarella acuta, autumn dwarf gentian
amal: amaranthus albus, prostrate pigweed
amal2: amelanchier alnifolia, saskatoon serviceberry
amal4: amaranthus albomarginatus, california amaranth
aman2: amorpha angustifolia, desert false indigo
amar: amaranthus arenicola, sandhill amaranth
amar2: ambrosia artemisiifolia, annual ragweed
amar7: amsinckia arizonica, common fiddleneck
amau3: amelanchier australis, utah serviceberry
amba4: amelanchier basalticola, dwarf serviceberry
amba5: amelanchier bakeri, utah serviceberry
